[0.23854209] [0.45082822] [0.46309513] [0.4221503]
[0.25198661] [0.48919301] [0.50841964] [0.47035783]
[0.25100139] [0.49427173] [0.50166187] [0.48925398]
[0.24984944] [0.49345304] [0.48279848] [0.4618239]
[0.2554244] [0.49475754] [0.49537687] [0.46614864]
[0.25031061] [0.48715718] [0.50094717] [0.47522654]
[0.25180739] [0.49436059] [0.49682965] [0.47806465]
[0.2512035] [0.491596] [0.4806522] [0.46568682]
[0.24980509] [0.49552286] [0.49653621] [0.47608666]
